Unnamed: 0,title,description,job_level,languages,assessment_length,downloads,url,test_type,content_hash
0,Insurance Agent Solution,the insurance agent solution is for midlevel professional positions in the insurance industry that sell property casualty automotive or other types of insurance sample tasks for this position include but are not limited to calling on policyholders to deliver and explain policies or suggest additions or changes calculating premiums customizing insurance programs to suit individual customers ensuring policy requirements are fulfilled and conferring with clients to obtain and provide information when claims are made on a policy potential job titles that use this solution are insurance sales professional insurance sales agent producer insurance agent multiple configurations of this solution are available,midprofessional,english usa,46.0,"[{'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_ Insurance Agent One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,a b p,ac65f8526e51523910ec00528ae6a94b
1,Workplace Safety - Individual 7.0 Solution,our workplace safety individual 70 solution is designed for entrylevel positions and measures the behaviors and experiences that underlie successful and safe performance with more individuallyoriented roles or work environments the solution assesses behaviors and competencies foundational to safety across a wide range of jobs including following policies and procedures wearing required protective equipment safely operating vehicles andor machinery taking action in unsafe situations and producing high quality work industries and environments with entrylevel positions that use this solution are warehouse healthcare delivery and logistics food handling and preparation assembly and installation transportation manufacturing and processing construction drivers oil and gas and mining report language availability english usa latin american spanish,entrylevel,german english international english usa italian french dutch french canada latin american spanish arabic,16.0,"[{'name': 'Workplace Safety - Individual Detailed Report', 'url': 'https://service.shl.com/docs/Workplace Safety Individual Candidate Detailed Report NAS.pdf', 'language': 'Multi-language'}, {'name': 'Workplace Safety - Individual Development Report', 'url': 'https://service.shl.com/docs/Workplace Safety Individual Candidate Development Report NAS.pdf', 'language': 'Multi-language'}, {'name': 'Workplace Safety - Individual Interview Report', 'url': 'https://service.shl.com/docs/Workplace Safety Individual Candidate Interview Report NAS.pdf', 'language': 'Multi-language'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/7.0WorkplaceSafety_Individual_FactSheet(USE)v2.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Workplace Safety 7.0 Individuals (Americas) Interview Report (1).pdf', 'language': 'Multi-language'}, {'name': 'Development Report', 'url': 'https://service.shl.com/docs/Workplace Safety 7.0 Individuals (Americas) Development Report (2).pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Workplace Safety 7.0 Individuals (Americas) Detailed Report.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,b,91f875c0f770eb9c1eae740572e93eda
2,.NET WCF (New),multichoice test that measures the knowledge of net fundamentals wcf architecture programming model soa managing and programming wcf,midprofessional professional individual contributor,english usa,11.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/.NET WCF (New).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,k,a75322a61894d6182bdff1708af7b938
3,Installation and Repair Technician Solution,the installation and repair technician solution is designed for use with entrylevel field technician positions in the telecommunications industry the solution is focused on positions that involve installing repairing and maintaining telecommunications equipment along with some customer interaction and little to no specific sales components sample tasks may include installing or repairing enduser telecommunications equipment and services interacting with customers and installing or repairing telecommunications network infrastructure potential job titles that use this solution are installer service technician and customer installation technician there are multiple configurations of this solution available,professional individual contributor,english usa,49.0,"[{'name': 'Fact Sheet Telecommunications Suite Installation and Repair Technician One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Telecommunications Suite Installation and Repair Technician One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,a b p s,a168415895cdb0623baeb5e48a01cd84
4,Account Manager Solution,the account manager solution is an assessment used for job candidates applying to midlevel leadership positions that tend to manage the daytoday operations and activities of client accounts sample tasks for these jobs include but are not limited to communicating with clients about project status developing and maintaining project plans coordinating internally with appropriate project personnel and ensuring client expectations are being met potential job titles that use this solution are account executive account manager and senior account manager there are multiple configurations of this solution available,midprofessional,english usa,49.0,"[{'name': 'Product Flyer (USE)', 'url': 'https://service.shl.com/docs/Fact Sheet Account Manager One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,c p a b,4f79de1791045e7403aa2648cbb4e00b
5,ADO.NET (New),multichoice test that measures the knowledge on the concepts of adonet architecture components and data provider objects,midprofessional professional individual contributor,english usa,10.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/ADO.NET (New).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,k,0e51cb531716132a8009c1fe6210ff87
6,Insurance Sales Manager Solution,the sales manager solution is for entry to midlevel management positions that involve supervising employees working in an insurance organization and have a substantial portion of their job performance based on sales sample tasks for this job include but are not limited to planning and preparing work schedules promoting products to customers training subordinates analyzing sales statistics gathered by staff to determine sales potential and monitor preferences of customers building ongoing customer relationships and making daytoday decisions with minimal guidance from others potential job titles that use this solution are insurance sales manager sales manager assistant sales manager and sales supervisor multiple configurations of this solution are available,front line manager manager supervisor,english usa,51.0,"[{'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_ Insurance Sales Manager One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,a b p s,024d8d20cabbc68919b445c813f68702
7,Virtual Assessment and Development Centers,shls innovative virtual assessment centers wow new hires or existing employees and show how you invest in your people they are a highly engaging experience inclusive and packed with predictive power to undercover potential shls virtual assessment and development center platform is packaged with features to support your candidates assessors and center administrators deliver a full range of assessment center exercises from inbox simulations and written analysis through coaching and roleplay with preparation materials and one to one live virtual interactions to assigned or unassigned role group exercises exercises are available across a range of,and industry scenarios want to find out more or book a demo visit httpswwwshlcomensolutionsvirtualvirtualassessmentdevelopmentcenter language availability for the candidate and assessor simulation interface is shown in the list below language availability for the live interactions interface smart interview live is currently english us japanese simplified chinese spanish portuguese brazilian portuguese french canadian french italian dutch latin american spanish romanian indonesian german greek job levels director entrylevel executive front line manager general population graduate manager midprofessional professional individual contributor supervisor,english usa english international italian german portuguese spanish latin american spanish french french canada dutch japanese indonesian greek romanian chinese simplified arabic,360.0,,https://www.shl.com/solutions/products/product-catalog/view/virtual-assessment-and-development-centers/,p,c298a482e9f52c3fec4abe7b3c8d585b
8,Network Engineer/Analyst Solution,the network engineeranalyst solution is designed for use with professional level telecommunications engineers and network analysts the solution is focused on positions that involve the design and monitoring of complex telecommunications networks and places an emphasis on reasoning ability attention to detail and multitasking sample tasks may include designing networks or network elements ensuring proper network operation and performance and monitoring and troubleshooting electronic data and communication networks potential job titles that use this solution are network engineer network analyst and communications engineer there are multiple configurations of this solution available,professional individual contributor,english usa,41.0,"[{'name': 'Fact Sheet Telecommunications Suite Network Engineer Analyst One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Telecommunications Suite Network Engineer Analyst One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,p s k b a,2bdac9a5ecae09899e8c1ba571f4bfa3
9,Gaming Associate Solution,the gaming associate solution is designed for entry to midlevel positions operating gaming tables the solution is for highly customer service focused positions that may potentially deal with large sums of money sample tasks may include dealing playing cards counting and confirming patron bets collecting patron losses and distributing patron winnings and exchange currency for playing chips potential job titles that use this solution are table games dealer black jack dealer dealer casino dealer dual rate dealer card dealer and gaming dealer multiple configurations of this solution are available,entrylevel,english usa,50.0,"[{'name': 'Fact Sheet Hospitality Suite Gaming Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Gaming Associate One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,a b p s,92d6041e1ff35fc94e6a17b28f5bde3f
